Date,AAPL,MSFT,GOOG,FB,AMZN,SNE,AMD,TWTR,IBM,MU
2019/5/28,178.23,126.16,1134.15,184.31,1836.43,49.17,29.03,37.29,130.46,32.94
2019/5/29,177.38,124.94,1116.46,182.19,1819.19,48.23,28.09,36.85,129.69,33.29
2019/5/30,178.3,125.73,1117.95,183.01,1816.32,48.53,28.03,37.14,129.57,33.32
2019/5/31,175.07,123.68,1103.63,177.47,1775.07,48.0,27.41,36.44,126.99,32.61
2019/6/3,173.3,119.84,1036.23,164.15,1692.69,47.78,27.58,34.43,128.27,32.69
2019/6/4,179.64,123.16,1053.05,167.5,1729.56,48.13,29.57,36.1,132.69,34.49
2019/6/5,182.54,125.83,1042.22,168.17,1738.5,48.11,29.5,36.33,131.49,33.34
2019/6/6,185.22,127.82,1044.34,168.33,1754.36,47.45,31.82,36.59,132.22,33.47
2019/6/7,190.15,131.4,1066.04,173.35,1804.03,48.86,32.41,37.93,133.31,33.99
2019/6/10,192.58,132.6,1080.38,174.82,1860.63,49.62,33.23,37.64,134.74,34.94
2019/6/11,194.81,132.1,1078.72,178.1,1863.7,49.82,32.41,37.21,135.95,34.84
2019/6/12,194.19,131.49,1077.03,175.04,1855.32,49.38,32.18,37.49,134.87,32.96
2019/6/13,194.15,132.32,1088.77,177.47,1870.3,49.67,31.39,36.34,135.76,33.38
2019/6/14,192.74,132.45,1085.35,181.33,1869.67,51.33,30.36,36.15,135.15,32.66
2019/6/17,193.89,132.85,1092.5,189.01,1886.03,52.1,29.2,36.44,134.95,32.43
2019/6/18,198.45,135.16,1103.6,188.47,1901.37,52.21,30.45,36.65,136.38,34.29
2019/6/19,197.87,135.69,1102.33,187.48,1908.79,52.98,30.5,36.29,137.08,33.94
2019/6/20,199.46,136.95,1111.42,189.53,1918.19,53.94,30.01,35.44,138.85,34.15
2019/6/21,198.78,136.97,1121.88,191.14,1911.3,53.24,29.1,35.02,139.2,33.25
2019/6/24,198.58,137.78,1115.52,192.6,1913.9,53.15,29.26,35.58,139.35,33.19
2019/6/25,195.57,133.43,1086.35,188.84,1878.27,52.55,28.86,34.72,138.36,32.68
2019/6/26,199.8,133.93,1079.8,187.66,1897.83,52.46,29.92,35.22,138.52,37.04
2019/6/27,199.74,134.15,1076.01,189.5,1904.28,52.7,30.74,34.75,138.52,38.07
2019/6/28,197.92,133.96,1080.91,193.0,1893.63,52.39,30.37,34.9,137.9,38.59
2019/7/1,201.55,135.68,1097.95,193.0,1922.19,53.71,31.2,36.08,139.88,40.11
2019/7/2,202.73,136.58,1111.25,195.0,1934.31,53.68,31.24,36.22,140.22,39.6
2019/7/3,204.41,137.46,1121.58,197.2,1939.0,54.72,31.19,36.02,141.54,39.59
2019/7/5,204.23,137.06,1131.59,196.4,1942.91,55.03,31.5,36.25,141.38,39.42
2019/7/8,200.02,136.96,1116.35,195.76,1952.32,54.66,32.04,36.45,140.57,40.41
2019/7/9,201.24,136.46,1124.83,199.21,1988.3,54.38,33.15,37.65,139.33,41.35
2019/7/10,203.23,137.85,1140.48,202.73,2017.41,54.78,33.79,37.47,140.47,42.9
2019/7/11,201.75,138.4,1144.21,201.23,2001.07,55.02,33.06,37.21,141.24,43.48
2019/7/12,203.3,138.9,1144.9,204.87,2011.0,55.77,33.21,37.84,142.74,44.51
2019/7/15,205.21,138.9,1150.34,203.91,2020.99,55.77,34.39,38.68,143.32,44.4
2019/7/16,204.5,137.08,1153.58,203.84,2009.9,53.99,33.85,37.99,143.53,43.06
2019/7/17,203.35,136.27,1146.35,201.8,1992.03,54.37,33.6,37.7,143.07,43.37
2019/7/18,205.66,136.42,1146.33,200.78,1977.9,53.95,33.0,37.66,149.63,44.67
2019/7/19,202.59,136.62,1130.1,198.36,1964.52,53.66,32.51,36.77,149.68,45.52
2019/7/22,207.22,138.43,1138.07,202.32,1985.63,53.8,32.85,37.58,149.74,47.19
2019/7/23,208.84,139.29,1146.21,202.36,1994.49,54.41,33.49,37.9,150.38,46.95
2019/7/24,208.67,140.72,1137.81,204.66,2000.81,55.1,34.11,38.73,150.03,47.99
2019/7/25,207.02,140.19,1132.12,200.71,1973.82,54.55,33.67,38.12,150.39,47.77
2019/7/26,207.74,141.34,1250.41,199.75,1943.05,54.8,34.02,41.52,151.36,47.49
2019/7/29,209.68,141.03,1239.41,195.94,1912.45,54.7,33.48,41.5,150.88,46.82
2019/7/30,208.78,140.35,1225.14,197.04,1898.53,57.1,33.87,41.0,149.77,47.46
2019/7/31,213.04,136.27,1216.68,194.23,1866.78,56.86,30.45,42.31,148.24,44.89
2019/8/1,208.43,138.06,1209.01,192.73,1855.32,55.85,29.86,42.08,150.32,43.6
2019/8/2,204.02,136.9,1193.99,189.02,1823.24,54.98,29.44,42.85,147.25,44.08
2019/8/5,193.34,132.21,1152.32,181.73,1765.13,53.65,27.99,40.37,140.76,41.94
2019/8/6,197.0,134.69,1169.95,184.51,1787.83,55.0,28.86,41.32,140.73,42.62
2019/8/7,199.04,135.28,1173.99,185.15,1793.4,55.53,29.19,41.73,139.11,41.75
2019/8/8,203.43,138.89,1204.8,190.16,1832.89,56.25,33.92,42.07,140.1,42.63
2019/8/9,200.99,137.71,1188.01,187.85,1807.58,56.11,34.19,41.53,136.13,41.52
2019/8/12,200.48,135.79,1174.71,185.37,1784.92,55.6,32.43,40.48,133.67,42.13
2019/8/13,208.97,138.6,1197.27,188.45,1824.34,56.26,32.11,41.81,135.79,44.17
2019/8/14,202.75,133.98,1164.29,179.71,1762.96,54.32,30.24,40.65,131.25,42.04
2019/8/15,201.74,133.68,1167.26,182.59,1776.12,55.02,29.67,40.09,131.92,42.24
2019/8/16,206.5,136.13,1177.6,183.7,1792.57,55.73,31.18,40.58,133.76,43.55
2019/8/19,210.35,138.41,1198.45,186.17,1816.12,55.72,31.48,41.7,135.04,45.01
2019/8/20,210.36,137.26,1182.69,183.81,1801.38,55.66,30.72,42.29,133.0,44.23
2019/8/21,212.64,138.79,1191.25,183.55,1823.54,56.65,31.7,42.8,134.25,44.17
2019/8/22,212.46,137.78,1189.53,182.04,1805.6,54.77,31.9,42.18,134.32,44.78
2019/8/23,202.64,133.39,1151.29,177.75,1749.62,53.84,29.54,41.00,129.57,42.96
