date,AMZN,S&P 500
2015-12-29,693.97,2078.360107
2015-12-30,689.07,2063.360107
2015-12-31,675.89,2043.939941
2016-01-04,636.99,2012.660034
2016-01-05,633.79,2016.709961
2016-01-06,632.65,1990.2600100000002
2016-01-07,607.94,1943.089966
2016-01-08,607.05,1922.030029
2016-01-11,617.74,1923.6700440000002
2016-01-12,617.89,1938.680054
2016-01-13,581.81,1890.280029
2016-01-14,593.0,1921.839966
2016-01-15,570.18,1880.3299559999998
2016-01-19,574.48,1881.3299559999998
2016-01-20,571.77,1859.3299559999998
2016-01-21,575.02,1868.9899899999998
2016-01-22,596.38,1906.9000239999998
2016-01-25,596.53,1877.0799559999998
2016-01-26,601.25,1903.630005
2016-01-27,583.35,1882.949951
2016-01-28,635.35,1893.359985
2016-01-29,587.0,1940.2399899999998
2016-02-01,574.81,1939.380005
2016-02-02,552.1,1903.030029
2016-02-03,531.07,1912.530029
2016-02-04,536.26,1915.449951
2016-02-05,502.13,1880.050049
2016-02-08,488.1,1853.439941
2016-02-09,482.07,1852.209961
2016-02-10,490.48,1851.859985
2016-02-11,503.82,1829.0799559999998
2016-02-12,507.08,1864.780029
2016-02-16,521.1,1895.5799559999998
2016-02-17,534.1,1926.819946
2016-02-18,525.0,1917.8299559999998
2016-02-19,534.9,1917.780029
2016-02-22,559.5,1945.5
2016-02-23,552.94,1921.27002
2016-02-24,554.04,1929.800049
2016-02-25,555.15,1951.699951
2016-02-26,555.23,1948.050049
2016-02-29,552.52,1932.22998
2016-03-01,579.04,1978.3499760000002
2016-03-02,580.21,1986.449951
2016-03-03,577.49,1993.4000239999998
2016-03-04,575.14,1999.9899899999998
2016-03-07,562.8,2001.7600100000002
2016-03-08,560.26,1979.2600100000002
2016-03-09,559.47,1989.2600100000002
2016-03-10,558.93,1989.569946
2016-03-11,569.61,2022.189941
2016-03-14,573.37,2019.640015
2016-03-15,577.02,2015.930054
2016-03-16,574.27,2027.219971
2016-03-17,559.44,2040.589966
2016-03-18,552.08,2049.580078
2016-03-21,553.98,2051.600098
2016-03-22,560.48,2049.800049
2016-03-23,569.63,2036.709961
2016-03-24,582.95,2035.939941
2016-03-28,579.87,2037.050049
2016-03-29,593.86,2055.01001
2016-03-30,598.69,2063.949951
2016-03-31,593.64,2059.73999
2016-04-01,598.5,2072.780029
2016-04-04,593.19,2066.1298829999996
2016-04-05,586.14,2045.1700440000002
2016-04-06,602.08,2066.659912
2016-04-07,591.43,2041.910034
2016-04-08,594.6,2047.5999760000002
2016-04-11,595.93,2041.9899899999998
2016-04-12,603.17,2061.719971
2016-04-13,614.82,2082.419922
2016-04-14,620.75,2082.780029
2016-04-15,625.89,2080.72998
2016-04-18,635.35,2094.340088
2016-04-19,627.9,2100.800049
2016-04-20,632.99,2102.399902
2016-04-21,631.0,2091.47998
2016-04-22,620.5,2091.580078
2016-04-25,626.2,2087.790039
2016-04-26,616.88,2091.699951
2016-04-27,606.57,2095.149902
2016-04-28,602.0,2075.810059
2016-04-29,659.59,2065.300049
2016-05-02,683.85,2081.429932
2016-05-03,671.32,2063.3701170000004
2016-05-04,670.9,2051.1201170000004
2016-05-05,659.09,2050.6298829999996
2016-05-06,673.95,2057.139893
2016-05-09,679.75,2058.689941
2016-05-10,703.07,2084.389893
2016-05-11,713.23,2064.459961
2016-05-12,717.93,2064.110107
2016-05-13,709.92,2046.609985
2016-05-16,710.66,2066.659912
2016-05-17,695.27,2047.209961
2016-05-18,697.45,2047.630005
2016-05-19,698.52,2040.040039
2016-05-20,702.8,2052.320068
2016-05-23,696.75,2048.040039
2016-05-24,704.2,2076.060059
2016-05-25,708.35,2090.540039
2016-05-26,714.91,2090.100098
2016-05-27,712.24,2099.060059
2016-05-31,722.79,2096.949951
2016-06-01,719.44,2099.330078
2016-06-02,728.24,2105.26001
2016-06-03,725.54,2099.1298829999996
2016-06-06,726.73,2109.409912
2016-06-07,723.74,2112.1298829999996
2016-06-08,726.64,2119.1201170000004
2016-06-09,727.65,2115.47998
2016-06-10,717.91,2096.070068
2016-06-13,715.24,2079.060059
2016-06-14,719.3,2075.320068
2016-06-15,714.26,2071.5
2016-06-16,717.51,2077.98999
2016-06-17,706.39,2071.219971
2016-06-20,714.01,2083.25
2016-06-21,715.82,2088.899902
